engine,engine_version,tree_files,pft2_inode_index_depth,pft2_directory_depth,workload,rep,operations,logical_bytes,format_bytes,path_write_bytes,kernel_disk_bytes,duration_ms,kernel_amplification,three_way_kernel_amplification,kernel_bytes_per_op,go_version,os,arch
pft2,repository HEAD,65536,2,2,mixed,3,100,288000,8848193,8884185,10227712,2059,35.512889,106.538667,102277.120,go1.26.5,darwin,arm64
bbolt,v1.5.0,65536,2,2,mixed,3,100,288000,-1,-1,14319616,2392,49.720889,149.162667,143196.160,go1.26.5,darwin,arm64
pft2,repository HEAD,524288,3,2,random-4k,1,32,131072,2572499,2585171,2899968,607,22.125000,66.375000,90624.000,go1.26.5,darwin,arm64
bbolt,v1.5.0,524288,3,2,random-4k,1,32,131072,-1,-1,4587520,657,35.000000,105.000000,143360.000,go1.26.5,darwin,arm64
pft2,repository HEAD,524288,3,2,random-4k,2,32,131072,2599008,2611680,2998272,705,22.875000,68.625000,93696.000,go1.26.5,darwin,arm64
bbolt,v1.5.0,524288,3,2,random-4k,2,32,131072,-1,-1,4587520,757,35.000000,105.000000,143360.000,go1.26.5,darwin,arm64
pft2,repository HEAD,524288,3,2,random-4k,3,32,131072,2624363,2637035,2957312,686,22.562500,67.687500,92416.000,go1.26.5,darwin,arm64
bbolt,v1.5.0,524288,3,2,random-4k,3,32,131072,-1,-1,4603904,730,35.125000,105.375000,143872.000,go1.26.5,darwin,arm64
pft2,repository HEAD,524288,3,2,sequential-append,1,32,131072,2694139,2706811,3026944,684,23.093750,69.281250,94592.000,go1.26.5,darwin,arm64
bbolt,v1.5.0,524288,3,2,sequential-append,1,32,131072,-1,-1,4685824,638,35.750000,107.250000,146432.000,go1.26.5,darwin,arm64
pft2,repository HEAD,524288,3,2,sequential-append,2,32,131072,2694139,2706811,3026944,567,23.093750,69.281250,94592.000,go1.26.5,darwin,arm64
bbolt,v1.5.0,524288,3,2,sequential-append,2,32,131072,-1,-1,4685824,650,35.750000,107.250000,146432.000,go1.26.5,darwin,arm64
pft2,repository HEAD,524288,3,2,sequential-append,3,32,131072,2694139,2706811,3026944,611,23.093750,69.281250,94592.000,go1.26.5,darwin,arm64
bbolt,v1.5.0,524288,3,2,sequential-append,3,32,131072,-1,-1,4685824,654,35.750000,107.250000,146432.000,go1.26.5,darwin,arm64
pft2,repository HEAD,524288,3,2,small-creates,1,32,4096,6668944,6688656,7008256,658,1711.000000,5133.000000,219008.000,go1.26.5,darwin,arm64
bbolt,v1.5.0,524288,3,2,small-creates,1,32,4096,-1,-1,5734400,591,1400.000000,4200.000000,179200.000,go1.26.5,darwin,arm64
pft2,repository HEAD,524288,3,2,small-creates,2,32,4096,6668944,6688656,7008256,551,1711.000000,5133.000000,219008.000,go1.26.5,darwin,arm64
bbolt,v1.5.0,524288,3,2,small-creates,2,32,4096,-1,-1,5734400,718,1400.000000,4200.000000,179200.000,go1.26.5,darwin,arm64
pft2,repository HEAD,524288,3,2,small-creates,3,32,4096,6668944,6688656,7008256,715,1711.000000,5133.000000,219008.000,go1.26.5,darwin,arm64
bbolt,v1.5.0,524288,3,2,small-creates,3,32,4096,-1,-1,5734400,568,1400.000000,4200.000000,179200.000,go1.26.5,darwin,arm64
pft2,repository HEAD,524288,3,2,rename,1,32,0,2669000,2678988,3002368,512,,,93824.000,go1.26.5,darwin,arm64
bbolt,v1.5.0,524288,3,2,rename,1,32,0,-1,-1,4718592,423,,,147456.000,go1.26.5,darwin,arm64
pft2,repository HEAD,524288,3,2,rename,2,32,0,2669000,2678988,3002368,364,,,93824.000,go1.26.5,darwin,arm64
bbolt,v1.5.0,524288,3,2,rename,2,32,0,-1,-1,4718592,411,,,147456.000,go1.26.5,darwin,arm64
pft2,repository HEAD,524288,3,2,rename,3,32,0,2669000,2678988,3002368,386,,,93824.000,go1.26.5,darwin,arm64
bbolt,v1.5.0,524288,3,2,rename,3,32,0,-1,-1,4718592,319,,,147456.000,go1.26.5,darwin,arm64
pft2,repository HEAD,524288,3,2,chmod,1,32,0,2479241,2487689,2809856,212,,,87808.000,go1.26.5,darwin,arm64
bbolt,v1.5.0,524288,3,2,chmod,1,32,0,-1,-1,3145728,323,,,98304.000,go1.26.5,darwin,arm64
pft2,repository HEAD,524288,3,2,chmod,2,32,0,2436971,2445419,2740224,339,,,85632.000,go1.26.5,darwin,arm64
bbolt,v1.5.0,524288,3,2,chmod,2,32,0,-1,-1,3145728,440,,,98304.000,go1.26.5,darwin,arm64
pft2,repository HEAD,524288,3,2,chmod,3,32,0,2453897,2462345,2781184,365,,,86912.000,go1.26.5,darwin,arm64
bbolt,v1.5.0,524288,3,2,chmod,3,32,0,-1,-1,3145728,431,,,98304.000,go1.26.5,darwin,arm64
pft2,repository HEAD,524288,3,2,mkdir,1,32,0,7003647,7020543,7311360,357,,,228480.000,go1.26.5,darwin,arm64
bbolt,v1.5.0,524288,3,2,mkdir,1,32,0,-1,-1,5242880,529,,,163840.000,go1.26.5,darwin,arm64
pft2,repository HEAD,524288,3,2,mkdir,2,32,0,7003647,7020543,7311360,424,,,228480.000,go1.26.5,darwin,arm64
bbolt,v1.5.0,524288,3,2,mkdir,2,32,0,-1,-1,5242880,591,,,163840.000,go1.26.5,darwin,arm64
pft2,repository HEAD,524288,3,2,mkdir,3,32,0,7003647,7020543,7311360,465,,,228480.000,go1.26.5,darwin,arm64
bbolt,v1.5.0,524288,3,2,mkdir,3,32,0,-1,-1,5242880,502,,,163840.000,go1.26.5,darwin,arm64
pft2,repository HEAD,524288,3,2,mixed,1,100,288000,10211248,10252300,11366400,1305,39.466667,118.400000,113664.000,go1.26.5,darwin,arm64
bbolt,v1.5.0,524288,3,2,mixed,1,100,288000,-1,-1,14663680,1654,50.915556,152.746667,146636.800,go1.26.5,darwin,arm64
pft2,repository HEAD,524288,3,2,mixed,2,100,288000,10194335,10235387,11362304,1171,39.452444,118.357333,113623.040,go1.26.5,darwin,arm64
bbolt,v1.5.0,524288,3,2,mixed,2,100,288000,-1,-1,14696448,1533,51.029333,153.088000,146964.480,go1.26.5,darwin,arm64
pft2,repository HEAD,524288,3,2,mixed,3,100,288000,10236590,10277642,11309056,1057,39.267556,117.802667,113090.560,go1.26.5,darwin,arm64
bbolt,v1.5.0,524288,3,2,mixed,3,100,288000,-1,-1,14696448,1801,51.029333,153.088000,146964.480,go1.26.5,darwin,arm64
