engine,engine_version,tree_files,pft2_inode_index_depth,pft2_directory_depth,workload,rep,operations,logical_bytes,format_bytes,path_write_bytes,kernel_disk_bytes,duration_ms,kernel_amplification,three_way_kernel_amplification,kernel_bytes_per_op,go_version,os,arch,groups,clean_copied_bytes,index_disk_bytes,store_disk_bytes,sync_p50_us,sync_p99_us,sync_max_us
seglog,spike,524288,-1,-1,chmod,3,32,0,1312,2848,188416,150,,,5888.000,go1.26.5,darwin,arm64,32,0,15478692,76825461,3920,4922,7973
pebble,v2.1.6,524288,-1,-1,chmod,3,32,0,-1,-1,135168,112,,,4224.000,go1.26.5,darwin,arm64,0,0,-1,7777457,0,0,0
seglog,spike,524288,-1,-1,mkdir,1,32,0,3616,6688,258048,131,,,8064.000,go1.26.5,darwin,arm64,32,0,15479285,76829894,3092,6753,6781
pebble,v2.1.6,524288,-1,-1,mkdir,1,32,0,-1,-1,196608,107,,,6144.000,go1.26.5,darwin,arm64,0,0,-1,7781425,0,0,0
seglog,spike,524288,-1,-1,mkdir,2,32,0,3616,6688,258048,113,,,8064.000,go1.26.5,darwin,arm64,32,0,15479285,76829894,2988,4051,4094
pebble,v2.1.6,524288,-1,-1,mkdir,2,32,0,-1,-1,196608,107,,,6144.000,go1.26.5,darwin,arm64,0,0,-1,7781425,0,0,0
seglog,spike,524288,-1,-1,mkdir,3,32,0,3616,6688,258048,119,,,8064.000,go1.26.5,darwin,arm64,32,0,15479285,76829894,3097,4174,4181
pebble,v2.1.6,524288,-1,-1,mkdir,3,32,0,-1,-1,196608,117,,,6144.000,go1.26.5,darwin,arm64,0,0,-1,7781425,0,0,0
seglog,spike,524288,-1,-1,mixed,1,100,288000,335140,343300,1384448,393,4.807111,14.421333,13844.480,go1.26.5,darwin,arm64,100,0,15482085,77169306,3823,4524,4529
pebble,v2.1.6,524288,-1,-1,mixed,1,100,288000,-1,-1,1495040,387,5.191111,15.573333,14950.400,go1.26.5,darwin,arm64,0,0,-1,8118573,0,0,0
seglog,spike,524288,-1,-1,mixed,2,100,288000,335140,343300,1384448,400,4.807111,14.421333,13844.480,go1.26.5,darwin,arm64,100,0,15482081,77169302,3852,4154,4645
pebble,v2.1.6,524288,-1,-1,mixed,2,100,288000,-1,-1,1495040,406,5.191111,15.573333,14950.400,go1.26.5,darwin,arm64,0,0,-1,8118573,0,0,0
seglog,spike,524288,-1,-1,mixed,3,100,288000,335140,343300,1384448,403,4.807111,14.421333,13844.480,go1.26.5,darwin,arm64,100,0,15482081,77169302,3820,4173,4209
pebble,v2.1.6,524288,-1,-1,mixed,3,100,288000,-1,-1,1495040,379,5.191111,15.573333,14950.400,go1.26.5,darwin,arm64,0,0,-1,8118573,0,0,0
